"iso2c","year","federal"
"CG",2004,NA
"CG",2005,NA
"CG",2006,NA
"CG",2007,NA
"CG",2008,NA
"CG",2009,NA
"CH",1980,1
"CH",1981,1
"CH",1982,1
"CH",1983,1
"CH",1984,1
"CH",1985,1
"CH",1986,1
"CH",1987,1
"CH",1988,1
"CH",1989,1
"CH",1990,1
"CH",1991,1
"CH",1992,1
"CH",1993,1
"CH",1994,1
"CH",1995,1
"CH",1996,1
"CH",1997,1
"CH",1998,1
"CH",1999,1
"CH",2000,1
"CH",2001,1
"CH",2002,1
"CH",2003,1
"CH",2004,1
"CH",2005,1
"CH",2006,1
"CH",2007,1
"CH",2008,1
"CH",2009,1
"CI",1980,NA
"CI",1981,NA
"CI",1982,NA
"CI",1983,NA
"CI",1984,NA
"CI",1985,NA
"CI",1986,NA
"CI",1987,NA
"CI",1988,NA
"CI",1989,NA
"CI",1990,NA
"CI",1991,NA
"CI",1992,NA
"CI",1993,NA
"CI",1994,NA
"CI",1995,NA
"CI",1996,NA
"CI",1997,NA
"CI",1998,NA
"CI",1999,NA
"CI",2000,NA
"CI",2001,NA
"CI",2002,NA
"CI",2003,NA
"CI",2004,NA
"CI",2005,NA
"CI",2006,NA
"CI",2007,NA
"CI",2008,NA
"CI",2009,NA
"CL",1980,NA
"CL",1981,NA
"CL",1982,NA
"CL",1983,NA
"CL",1984,NA
"CL",1985,NA
"CL",1986,NA
"CL",1987,NA
"CL",1988,NA
"CL",1989,NA
"CL",1990,NA
"CL",1991,NA
"CL",1992,NA
"CL",1993,0
"CL",1994,0
"CL",1995,0
"CL",1996,0
"CL",1997,0
"CL",1998,0
"CL",1999,0
"CL",2000,0
"CL",2001,0
"CL",2002,0
"CL",2003,0
"CL",2004,0
"CL",2005,0
"CL",2006,0
"CL",2007,0
"CL",2008,0
"CL",2009,0
"CM",1980,NA
"CM",1981,NA
"CM",1982,NA
"CM",1983,NA
"CM",1984,NA
"CM",1985,NA
"CM",1986,NA
"CM",1987,NA
"CM",1988,NA
"CM",1989,NA
"CM",1990,NA
"CM",1991,NA
"CM",1992,NA
"CM",1993,NA
"CM",1994,NA
"CM",1995,NA
"CM",1996,NA
"CM",1997,NA
"CM",1998,NA
"CM",1999,NA
"CM",2000,NA
"CM",2001,NA
"CM",2002,NA
"CM",2003,NA
"CM",2004,NA
"CM",2005,NA
"CM",2006,NA
"CM",2007,NA
"CM",2008,NA
"CM",2009,NA
"CN",1980,NA
"CN",1981,NA
"CN",1982,NA
"CN",1983,NA
"CN",1984,NA
"CN",1985,NA
"CN",1986,NA
"CN",1987,NA
"CN",1988,NA
"CN",1989,NA
"CN",1990,NA
"CN",1991,NA
"CN",1992,NA
"CN",1993,NA
"CN",1994,NA
"CN",1995,NA
"CN",1996,NA
"CN",1997,NA
"CN",1998,NA
"CN",1999,NA
"CN",2000,NA
"CN",2001,NA
"CN",2002,NA
"CN",2003,NA
"CN",2004,NA
"CN",2005,NA
"CN",2006,NA
"CN",2007,NA
"CN",2008,NA
"CN",2009,NA
"CO",1980,0
"CO",1981,0
"CO",1982,0
"CO",1983,0
"CO",1984,0
"CO",1985,0
"CO",1986,0
"CO",1987,0
"CO",1988,0
"CO",1989,0
"CO",1990,0
"CO",1991,0
"CO",1992,0
"CO",1993,0
"CO",1994,0
"CO",1995,0
"CO",1996,0
"CO",1997,0
"CO",1998,0
"CO",1999,0
"CO",2000,0
"CO",2001,0
"CO",2002,0
"CO",2003,0
"CO",2004,0
"CO",2005,0
"CO",2006,0
"CO",2007,0
"CO",2008,0
"CO",2009,0
"CR",1980,0
"CR",1981,0
"CR",1982,0
"CR",1983,0
"CR",1984,0
"CR",1985,0
"CR",1986,0
"CR",1987,0
"CR",1988,0
"CR",1989,0
"CR",1990,0
"CR",1991,0
"CR",1992,0
"CR",1993,0
"CR",1994,0
"CR",1995,0
"CR",1996,0
"CR",1997,0
"CR",1998,0
"CR",1999,0
"CR",2000,0
"CR",2001,0
"CR",2002,0
"CR",2003,0
"CR",2004,0
"CR",2005,0
"CR",2006,0
"CR",2007,0
"CR",2008,0
"CR",2009,0
"CU",1980,NA
"CU",1981,NA
"CU",1982,NA
"CU",1983,NA
"CU",1984,NA
"CU",1985,NA
"CU",1986,NA
"CU",1987,NA
"CU",1988,NA
"CU",1989,NA
"CU",1990,NA
"CU",1991,NA
"CU",1992,NA
"CU",1993,NA
"CU",1994,NA
"CU",1995,NA
"CU",1996,NA
"CU",1997,NA
"CU",1998,NA
"CU",1999,NA
"CU",2000,NA
"CU",2001,NA
"CU",2002,NA
"CU",2003,NA
"CU",2004,NA
"CU",2005,NA
"CU",2006,NA
"CU",2007,NA
"CU",2008,NA
"CU",2009,NA
"CV",1980,NA
"CV",1981,NA
"CV",1982,NA
"CV",1983,NA
"CV",1984,NA
"CV",1985,NA
"CV",1986,NA
"CV",1987,NA
"CV",1988,NA
"CV",1989,NA
"CV",1990,NA
"CV",1991,NA
"CV",1992,NA
"CV",1993,NA
"CV",1994,NA
"CV",1995,NA
"CV",1996,NA
"CV",1997,NA
"CV",1998,NA
"CV",1999,NA
"CV",2000,NA
"CV",2001,NA
"CV",2002,NA
"CV",2003,NA
"CV",2004,NA
"CV",2005,NA
"CV",2006,NA
